,ID,TMC,Severity,Start_Time,End_Time,City,County,State,Zipcode,Country,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Sunrise_Sunset,Stop,Traffic_Signal,Weekday,Month,Day,Year,Season
474,A-531485,201,3,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85017,US,61.0,10.0,5.0,0.0,Fair,Night,False,True,Wednesday,12,16,2020,Winter
475,A-531486,201,2,2020-12-16,2020-12-16,Mesa,Maricopa,AZ,85208,US,54.0,10.0,3.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
477,A-531488,201,2,2020-12-16,2020-12-16,Scottsdale,Maricopa,AZ,85256,US,56.0,10.0,3.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
478,A-531489,201,2,2020-12-16,2020-12-16,Phoenix,Maricopa,AZ,85043,US,50.0,10.0,3.0,0.0,Fair,Night,False,False,Wednesday,12,16,2020,Winter
481,A-533038,201,2,2020-12-15,2020-12-15,Surprise,Maricopa,AZ,85388,US,41.0,10.0,5.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
484,A-533041,201,2,2020-12-15,2020-12-15,Sun City,Maricopa,AZ,85373,US,41.0,10.0,7.0,0.0,Fair,Night,False,True,Tuesday,12,15,2020,Winter
485,A-533042,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85035,US,42.0,10.0,0.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
486,A-533043,201,3,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85021,US,44.0,10.0,5.0,0.0,Fair,Night,False,True,Tuesday,12,15,2020,Winter
488,A-533045,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85016,US,41.0,10.0,5.0,0.0,Fair,Night,False,True,Tuesday,12,15,2020,Winter
489,A-533046,201,2,2020-12-15,2020-12-15,Glendale,Maricopa,AZ,85301,US,41.0,10.0,5.0,0.0,Fair,Night,False,True,Tuesday,12,15,2020,Winter
490,A-533047,201,2,2020-12-15,2020-12-15,Glendale,Maricopa,AZ,85308,US,44.0,10.0,5.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
491,A-533048,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85003,US,41.0,10.0,5.0,0.0,Fair,Night,False,True,Tuesday,12,15,2020,Winter
493,A-533050,201,3,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85009,US,41.0,10.0,0.0,0.0,Fair,Night,False,False,Tuesday,12,15,2020,Winter
495,A-533052,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85037,US,41.0,10.0,5.0,0.0,Fair,Day,False,True,Tuesday,12,15,2020,Winter
496,A-533053,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85021,US,41.0,10.0,3.0,0.0,Fair,Day,False,True,Tuesday,12,15,2020,Winter
498,A-533055,201,3,2020-12-15,2020-12-15,Tolleson,Maricopa,AZ,85353,US,39.0,10.0,8.0,0.0,Fair,Day,False,False,Tuesday,12,15,2020,Winter
500,A-533057,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85051,US,46.0,10.0,5.0,0.0,Fair,Day,False,True,Tuesday,12,15,2020,Winter
502,A-533059,201,2,2020-12-15,2020-12-15,Tempe,Maricopa,AZ,85281,US,50.0,10.0,0.0,0.0,Fair,Day,False,True,Tuesday,12,15,2020,Winter
504,A-533061,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85013,US,57.0,10.0,6.0,0.0,Fair,Day,True,False,Tuesday,12,15,2020,Winter
506,A-533063,201,3,2020-12-15,2020-12-15,Peoria,Maricopa,AZ,85345,US,60.0,10.0,0.0,0.0,Fair,Day,False,False,Tuesday,12,15,2020,Winter
508,A-533065,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85034,US,61.0,10.0,5.0,0.0,Fair,Day,False,True,Tuesday,12,15,2020,Winter
511,A-533068,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85050,US,60.0,10.0,7.0,0.0,Fair,Day,False,False,Tuesday,12,15,2020,Winter
512,A-533069,201,2,2020-12-15,2020-12-15,Phoenix,Maricopa,AZ,85037,US,60.0,10.0,8.0,0.0,Fair,Day,False,False,Tuesday,12,15,2020,Winter
513,A-533070,201,2,2020-12-15,2020-12-15,Mesa,Maricopa,AZ,85207,US,61.0,10.0,9.0,0.0,Fair,Day,False,False,Tuesday,12,15,2020,Winter
